timestamp_utc,K,T_ambient,T_oil_hb,lo68,hi68,lo80,hi80,T_hs_hb,hs_lo68,hs_hi68,hs_lo80,hs_hi80
2025-10-15 00:00:00+00:00,0.23915054892789503,10.704347826086957,60.3209651158749,56.946166162672725,63.69576406907707,55.97188311361349,64.67004711813631,64.36901769345313,60.99421874025096,67.7438166466553,60.01993569119172,68.71809969571454
2025-10-16 00:00:00+00:00,0.22717976196546297,9.225,58.08004313001945,54.48896019417304,61.671126065865856,53.45223733136626,62.70784892867263,61.86668192635423,58.275598990507824,65.45776486220065,57.23887612770105,66.49448772500742
2025-10-17 00:00:00+00:00,0.24283413151935382,4.8500000000000005,54.70883143356213,50.91354982260034,58.504113044523926,49.817876097663984,59.59978676946028,58.838127243871234,55.04284563290944,62.63340885483303,53.947171907973086,63.72908257976938
2025-10-18 00:00:00+00:00,0.1996534446457203,4.429166666666666,51.681325536597235,47.692709877707244,55.669941195487226,46.54122183958825,56.82142923360622,54.88267583214744,50.89406017325745,58.87129149103743,49.74257213513846,60.02277952915642
2025-10-19 00:00:00+00:00,0.2011118363236134,6.208333333333333,53.54022924537463,49.366926149025616,57.71353234172365,48.1621200193149,58.91833847143437,56.77201281694474,52.59870972059572,60.945315913293754,51.393903590885,62.15012204300447
2025-10-20 00:00:00+00:00,0.24291265543196025,8.375,58.23903507928038,53.8886142835072,62.58945587505355,52.632675397555225,63.84539476100553,62.370066821206606,58.01964602543343,66.72048761697978,56.763707139481454,67.97642650293176
2025-10-21 00:00:00+00:00,0.2479345410755628,10.495833333333334,60.69615456696479,56.17577665135375,65.21653248257584,54.870772223062474,66.52153691086711,64.93855338659088,60.41817547097984,69.45893130220193,59.11317104268856,70.7639357304932
2025-10-22 00:00:00+00:00,0.23897585155708712,11.4125,61.01772201121494,56.33364521126208,65.7017988111678,54.98138195351881,67.05406206891107,65.0619308232806,60.37785402332774,69.74600762323347,59.025590765584475,71.09827088097673
2025-10-23 00:00:00+00:00,0.23496994231995702,11.654166666666667,61.000373250821454,56.158094888766136,65.84265161287676,54.76015984362799,67.24058665801492,64.95667448324221,60.11439612118689,69.79895284529752,58.716461076048745,71.19688789043568
2025-10-24 00:00:00+00:00,0.22997183340921876,10.9,59.92917674646103,54.93370975574863,64.92464373717344,53.491550125300705,66.36680336762136,63.776426582431085,58.780959591718684,68.77189357314349,57.33879996127076,70.2140532035914
2025-10-25 00:00:00+00:00,0.19998983278317847,10.104166666666666,57.37466594647532,52.230699581589754,62.51863231136088,50.74566912385432,64.00366276909632,60.5830299893594,55.43906362447384,65.72699635424496,53.954033166738405,67.21202681198041
2025-10-26 00:00:00+00:00,0.20048778843056017,8.5875,55.88520528444929,50.59675126187491,61.17365930702368,49.07000813395184,62.700402434946746,59.1039582811582,53.815504258583815,64.39241230373258,52.288761130660745,65.91915543165565
2025-10-27 00:00:00+00:00,0.24928069881072876,7.916666666666667,58.20830166232632,52.778946995608436,63.637656329044205,51.21152674555331,65.20507657909934,62.48066911062756,57.051314443909675,67.91002377734544,55.483894193854546,69.47744402740057
2025-10-28 00:00:00+00:00,0.24982483726842308,7.408333333333334,57.73701913511601,52.17057869144589,63.303459578786125,50.56358264721643,64.91045562301558,62.02151418220535,56.45507373853523,67.58795462587547,54.84807769430577,69.19495067010493
2025-10-29 00:00:00+00:00,0.25049387856337274,6.5,56.8743520703674,51.174120959504926,62.574583181229876,49.52850039838561,64.22020374234918,61.17376937817199,55.473538267309515,66.87400048903446,53.8279177061902,68.51962105015377
2025-10-30 00:00:00+00:00,0.2532092397999302,9.216666666666667,59.7776129225326,53.946648390837055,65.60857745422814,52.263285920457534,67.29193992460766,64.13771605606567,58.30675152437013,69.96868058776121,56.62338905399061,71.65204305814073
2025-10-31 00:00:00+00:00,0.25157230848632345,7.504166666666666,57.9523854470757,51.9935794538175,63.911191440333894,50.27330996447341,65.63146092967798,62.27588116753927,56.31707517428107,68.23468716079746,54.59680568493698,69.95495665014155
2025-11-01 00:00:00+00:00,0.2019639833335707,8.237499999999999,55.61625535518393,49.53252236731818,61.69998834304968,47.776187247130935,63.45632346323693,58.8658519724436,52.78211898457785,64.94958496030935,51.025783864390604,66.7059200804966
2025-11-02 00:00:00+00:00,0.20128204506628203,10.25,57.591239831473224,51.38486375279262,63.79761591015383,49.593122350298756,65.58935731264769,60.826579593179176,54.62020351449857,67.03295567185978,52.82846211200471,68.82469707435365
2025-11-03 00:00:00+00:00,0.24234476416894535,8.6875,58.51393980785145,52.18711107896459,64.84076853673831,50.36059576047231,66.6672838552306,62.63242094877101,56.305592219884154,68.95924967765787,54.47907690139187,70.78576499615015
2025-11-04 00:00:00+00:00,0.2330998794456172,10.504166666666666,59.730957200479025,53.28615148550893,66.17576291544911,51.42557695954566,68.0363374414124,63.64637410527845,57.20156839030835,70.09117982024854,55.34099386434508,71.95175434621181
2025-11-05 00:00:00+00:00,0.2434931355316491,12.0375,61.94005469319707,55.37930036960166,68.50080901679249,53.485252215872066,70.39485717052207,66.08392435428308,59.52317003068767,72.6446786778785,57.62912187695808,74.53872683160809
2025-11-06 00:00:00+00:00,0.2450372281374863,11.945454545454545,61.950919992129755,55.27627187029839,68.62556811396112,53.349343299526765,70.55249668473274,66.12898353150325,59.454335409671884,72.80363165333462,57.52740683890026,74.73056022410624
2025-11-07 00:00:00+00:00,0.24661862704643056,10.704166666666666,60.815703562795974,54.02907250888715,67.60233461670481,52.069815176011495,69.56159194958046,65.02885419160195,58.242223137693124,71.81548524551079,56.28296580481747,73.77474257838644
2025-11-08 00:00:00+00:00,0.21107722389897723,7.6499999999999995,55.54228092019863,48.645644289859455,62.4389175505378,46.65462904491133,64.42993279548593,58.98377584749054,52.08713921715137,65.88041247782971,50.096123972203245,67.87142772277784
2025-11-09 00:00:00+00:00,0.2150058352001023,6.804166666666667,54.92481239683654,47.91973286455322,61.92989192911987,45.897410841743636,63.95221395192945,58.449808722987996,51.44472919070467,65.45488825527133,49.42240716789509,67.4772102780809
2025-11-10 00:00:00+00:00,0.24069681175905136,6.658333333333334,56.376174339914044,49.26421427259285,63.488134407235236,47.21103651733645,65.54131216249164,60.45828512548323,53.34632505816204,67.57024519280442,51.29314730290564,69.62342294806082
2025-11-11 00:00:00+00:00,0.237896562450821,7.270833333333333,56.805839383112634,49.588697818612076,64.02298094761319,47.505154832360425,66.10652393386485,60.826319925076575,53.60917836057601,68.04346148957714,51.52563537432437,70.12700447582878
2025-11-12 00:00:00+00:00,0.23608172937543245,8.75,58.16765391611601,50.846837589912674,65.48847024231934,48.73336435763957,67.60194347459245,62.148307998604366,54.82749167240103,69.4691243248077,52.71401844012793,71.5825975570808
2025-11-13 00:00:00+00:00,0.23989402674000782,8.137500000000001,57.80270649466111,50.37963979713915,65.22577319218307,48.23664753131259,67.36876545800962,61.867126802349276,54.444060104827315,69.29019349987124,52.30106783900076,71.43318576569779
2025-11-14 00:00:00+00:00,0.26638839736151576,1.6666666666666667,53.16183617109647,45.637805740536685,60.68586660165625,43.46566588546629,62.85800645672665,57.81923301514407,50.29520258458429,65.34326344570385,48.12306272951389,67.51540330077425
2025-11-15 00:00:00+00:00,0.2464396052565113,0.6833333333333332,50.78282819231913,43.15937759431188,58.40627879032638,40.958535767591634,60.607120617046625,54.9920034007532,47.36855280274594,62.61545399876046,45.1677109760257,64.8162958254807
2025-11-16 00:00:00+00:00,0.23948079441675998,1.9749999999999999,51.61318151615332,43.89153098440621,59.33483204790043,41.66233945976672,61.56402357253992,55.66850259597418,47.94685206422707,63.39015312772129,45.717660539587584,65.61934465236078
2025-11-17 00:00:00+00:00,0.3161495069026332,-0.5458333333333333,54.904004788478474,47.084982967940846,62.7230266090161,44.8276809699223,64.98032860703465,60.72280718977736,52.903785369239735,68.541829010315,50.646483371221194,70.79913100833353
2025-11-18 00:00:00+00:00,0.32874434239454114,-1.8666666666666665,54.691265414108926,46.776366222800256,62.6061646054176,44.491385036057906,64.89114579215995,60.81320615887447,52.8983069675658,68.72810535018314,50.61332578082345,71.01308653692548
2025-11-19 00:00:00+00:00,0.3324468217616003,-1.2833333333333334,55.60857496459603,47.59899785644337,63.61815207274869,45.286683755716965,65.9304661734751,61.820299509736955,53.81072240158429,69.82987661788962,51.49840830085789,72.14219071861602
2025-11-20 00:00:00+00:00,0.32595707993921713,-0.7416666666666667,55.56731262148395,47.46422550045537,63.67039974251253,45.12491565221166,66.00970959075623,61.62186292868347,53.51877580765489,69.72495004971205,51.17946595941118,72.06425989795575
2025-11-21 00:00:00+00:00,0.33007783274833336,-1.2958333333333334,55.38195313582836,47.18635959053946,63.57754668111726,44.820343724445294,65.94356254721143,61.53619577404839,53.34060222875949,69.73178931933728,50.97458636266532,72.09780518543145
2025-11-22 00:00:00+00:00,0.21896773337478836,6.0,54.35521031503536,46.06867528195327,62.641745348117446,43.67640518523922,65.0340154448315,57.964880378298275,49.67834534521619,66.25141541138036,47.28607524850214,68.64368550809442
