timestamp,hotspot_temp,oil_temp,load_factor,K_max,ambient_temp,DLOL,LOL
2025-11-14T15:00:00.000Z,15.522392902675637,15.13770760838326,0.038180268465374624,2.0,2.1,5.387687801811442e-06,0.0004914496833636224
2025-11-14T15:02:00.000Z,15.498480087901335,15.11857898354878,0.038180268465374624,2.0,2.1,5.3645210083833875e-06,0.0004968142043720058
2025-11-14T15:04:00.000Z,15.47638950852366,15.099875439266176,0.038180268465374624,2.0,2.1,5.3432047374329495e-06,0.0005021574091094387
2025-11-14T15:06:00.000Z,15.455711859133332,15.081587529300965,0.038180268465374624,2.0,2.1,5.3233256846375955e-06,0.0005074807347940763
2025-11-14T15:08:00.000Z,15.436152304650932,15.06370601733498,0.038180268465374624,2.0,2.1,5.304587008156138e-06,0.0005127853218022324
2025-11-14T15:10:00.000Z,15.417497829497764,15.046221872301572,0.038180268465374624,2.0,2.1,5.2867745284245175e-06,0.000518072096330657
2025-11-14T15:12:00.000Z,15.399593914353286,15.029126263824462,0.038180268465374624,2.0,2.1,5.26973282895048e-06,0.0005233418291596074
2025-11-14T15:14:00.000Z,15.382327875501513,15.012410557757956,0.038180268465374624,2.0,2.1,5.2533483264773085e-06,0.0005285951774860847
2025-11-14T15:16:00.000Z,15.36561696319608,14.996066311826262,0.038180268465374624,2.0,2.1,5.237537261413979e-06,0.0005338327147474987
2025-11-14T15:18:00.000Z,15.349399859350351,14.980085271359714,0.038180268465374624,2.0,2.1,5.222237169422453e-06,0.0005390549519169212
2025-11-14T15:20:00.000Z,15.333630603342163,14.964459365125757,0.038180268465374624,2.0,2.1,5.207400819891667e-06,0.0005442623527368128
2025-11-14T15:22:00.000Z,15.318274252211042,14.949180701252555,0.038180268465374624,2.0,2.1,5.1929919046079456e-06,0.0005494553446414208
2025-11-14T15:24:00.000Z,15.303303779731403,14.934241563243202,0.038180268465374624,2.0,2.1,5.1789819692430426e-06,0.0005546343266106638
2025-11-14T15:26:00.000Z,15.288697860420923,14.9196344060785,0.038180268465374624,2.0,2.1,5.165348227964444e-06,0.0005597996748386283
2025-11-14T15:28:00.000Z,15.274439285668652,14.90535185240635,0.038180268465374624,2.0,2.1,5.152072005905779e-06,0.0005649517468445341
2025-11-14T15:30:00.000Z,15.26051383139991,14.891386688815802,0.038180268465374624,2.0,2.1,5.139137628211037e-06,0.0005700908844727451
2025-11-14T15:32:00.000Z,15.24690944828962,14.877731862193931,0.038180268465374624,2.0,2.1,5.1265316268275945e-06,0.0005752174160995727
2025-11-14T15:34:00.000Z,15.23361568238911,14.864380476163658,0.038180268465374624,2.0,2.1,5.114242173462946e-06,0.0005803316582730357
2025-11-14T15:36:00.000Z,15.220623260355115,14.851325787600725,0.038180268465374624,2.0,2.1,5.1022586735722366e-06,0.000585433916946608
2025-11-14T15:38:00.000Z,15.207923792272556,14.83856120322808,0.038180268465374624,2.0,2.1,5.090571475042794e-06,0.0005905244884216507
2025-11-14T15:40:00.000Z,15.195509558493107,14.826080276285937,0.038180268465374624,2.0,2.1,5.0791716586066584e-06,0.0005956036600802574
2025-11-14T15:42:00.000Z,15.183373356504909,14.813876703275842,0.038180268465374624,2.0,2.1,5.068050886516945e-06,0.0006006717109667743
2025-11-14T15:44:00.000Z,15.171508390701,14.801944320777082,0.038180268465374624,2.0,2.1,5.057201292785686e-06,0.0006057289122595599
2025-11-14T15:46:00.000Z,15.159908192808684,14.79027710233385,0.038180268465374624,2.0,2.1,5.046615403091053e-06,0.000610775527662651
2025-11-14T15:48:00.000Z,15.148566564238067,14.778869155411579,0.038180268465374624,2.0,2.1,5.03628607588513e-06,0.0006158118137385362
2025-11-14T15:50:00.000Z,15.137477534105274,14.767714718420914,0.038180268465374624,2.0,2.1,5.026206458670597e-06,0.0006208380201972067
2025-11-14T15:52:00.000Z,15.126635328469582,14.75680815780782,0.038180268465374624,2.0,2.1,5.016369955146946e-06,0.0006258543901523537
2025-11-14T15:54:00.000Z,15.11603434759781,14.746143965208349,0.038180268465374624,2.0,2.1,5.006770200164858e-06,0.0006308611603525185
2025-11-14T15:56:00.000Z,15.105669148979384,14.735716754666644,0.038180268465374624,2.0,2.1,4.997401040302698e-06,0.0006358585613928212
2025-11-14T15:58:00.000Z,15.09553443446564,14.725521259914755,0.038180268465374624,2.0,2.1,4.988256518508497e-06,0.0006408468179113297
2025-11-14T16:00:00.000Z,15.076736151482233,14.70666344282402,0.038180268465374624,2.0,1.7,4.971337469497798e-06,0.0006458181553808275
2025-11-14T16:02:00.000Z,15.058355682792927,14.688224688335302,0.038180268465374624,2.0,1.7,4.954847830103827e-06,0.0006507730032109313
2025-11-14T16:04:00.000Z,15.040383722300703,14.670195683946332,0.038180268465374624,2.0,1.7,4.9387755367000315e-06,0.0006557117787476314
2025-11-14T16:06:00.000Z,15.022811176806389,14.652567324099339,0.038180268465374624,2.0,1.7,4.923108919979276e-06,0.0006606348876676106
2025-11-14T16:08:00.000Z,15.005629159535978,14.635330705582279,0.038180268465374624,2.0,1.7,4.907836688520756e-06,0.0006655427243561314
2025-11-14T16:10:00.000Z,14.988828984309373,14.618477123032264,0.038180268465374624,2.0,1.7,4.892947913512254e-06,0.0006704356722696436
2025-11-14T16:12:00.000Z,14.97240216019417,14.601998064538916,0.038180268465374624,2.0,1.7,4.878432014447793e-06,0.0006753141042840914
2025-11-14T16:14:00.000Z,14.956340386532103,14.585885207345422,0.038180268465374624,2.0,1.7,4.864278745664764e-06,0.0006801783830297562
2025-11-14T16:16:00.000Z,14.940635548257385,14.570130413645115,0.038180268465374624,2.0,1.7,4.850478183617849e-06,0.000685028861213374
2025-11-14T16:18:00.000Z,14.925279711448589,14.554725726471483,0.038180268465374624,2.0,1.7,4.8370207148079136e-06,0.000689865881928182
2025-11-14T16:20:00.000Z,14.910265119071923,14.539663365679488,0.038180268465374624,2.0,1.7,4.8238970243045e-06,0.0006946897789524865
